Company Name,Founded Year,HQ,Industry,Total Funding,ARR,Valuation,Employees,Top Investors,Product,G2 Rating
Microsoft,1975,"Redmond, WA, USA",Enterprise Software,1000000000.0,270000000000.0,3000000000000.0,221000,"Bill Gates, Paul Allen","Azure, Office 365, Teams",4.4
Salesforce,1999,"San Francisco, CA, USA",CRM,65400000.00000001,37900000000.0,227800000000.0,75000,"Halsey Minor, Larry Ellison","Sales Cloud, Service Cloud",4.3
Adobe,1982,"San Jose, CA, USA",Creative Software,2500000.0,19400000000.0,240000000000.0,29945,Hambrecht & Quist,"Creative Cloud, Document Cloud",4.5
Oracle,1977,"Austin, TX, USA",Database & Enterprise,2000.0,52900000000.0,350000000000.0,143000,"Larry Ellison, Bob Miner","Oracle Cloud, NetSuite",4.0
SAP,1972,"Walldorf, Germany",Enterprise Software,,32500000000.0,215000000000.0,107415,"Dietmar Hopp, Klaus Tschira","S/4HANA, SuccessFactors",4.1
Intuit,1983,"Mountain View, CA, USA",Financial Software,273000000.0,14400000000.0,180000000000.0,18200,"Sierra Ventures, Kleiner Perkins","QuickBooks, TurboTax",4.4
ServiceNow,2004,"Santa Clara, CA, USA",IT Service Management,82500000.0,8900000000.0,147000000000.0,20000,"JMI Equity, Sequoia Capital",IT Service Management Platform,4.4
Workday,2005,"Pleasanton, CA, USA",HR & Finance,249900000.0,7300000000.0,65000000000.0,18800,"Greylock Partners, NEA","HCM, Financial Management",4.2
Zoom,2011,"San Jose, CA, USA",Video Communications,145500000.0,4500000000.0,85000000000.0,7388,"Sequoia Capital, Emergence",Video Conferencing Platform,4.5
Shopify,2006,"Ottawa, Canada",E-commerce,122300000.0,7100000000.0,95000000000.0,11600,"Bessemer, FirstMark, Felicis",E-commerce Platform,4.4
Atlassian,2002,"Sydney, Australia",Collaboration Software,60000000.0,3500000000.0,55000000000.0,11800,Accel Partners,"Jira, Confluence, Trello",4.3
Snowflake,2012,"Bozeman, MT, USA",Data Warehousing,1400000000.0,2800000000.0,75000000000.0,6500,"Sequoia, ICONIQ, Altimeter",Cloud Data Platform,4.4
HubSpot,2006,"Cambridge, MA, USA",Marketing & Sales,100500000.0,2200000000.0,32000000000.0,7600,"General Catalyst, Google Ventures","Marketing Hub, Sales Hub",4.4
DocuSign,2003,"San Francisco, CA, USA",Digital Agreements,514299999.99999994,2500000000.0,10000000000.0,7336,"Kleiner Perkins, Accel","eSignature, Contract Lifecycle",4.5
Slack,2009,"San Francisco, CA, USA",Team Communication,1400000000.0,1700000000.0,,2545,"Accel, Andreessen Horowitz",Team Messaging Platform,4.5
Notion,2013,"San Francisco, CA, USA",Productivity,353000000.0,400000000.0,10000000000.0,800,"Index Ventures, Sequoia",All-in-one workspace,4.7
Datadog,2010,"New York, NY, USA",Monitoring & Analytics,147900000.0,2100000000.0,44000000000.0,5200,"ICONIQ, Index Ventures",Infrastructure Monitoring,4.4
MongoDB,2007,"New York, NY, USA",Database,311200000.0,1700000000.0,26000000000.0,4500,"Sequoia, NEA, USV",Document Database Platform,4.5
Okta,2009,"San Francisco, CA, USA",Identity Management,230500000.0,2200000000.0,25000000000.0,5900,"Andreessen Horowitz, Greylock",Identity & Access Management,4.4
Twilio,2008,"San Francisco, CA, USA",Communications,261300000.0,4099999999.9999995,12000000000.0,7867,"Bessemer, Union Square",Communications APIs,4.3
Stripe,2010,"San Francisco, CA, USA",Payments,8700000000.0,14000000000.0,65000000000.0,8000,"Sequoia, Andreessen Horowitz",Payment Processing Platform,4.4
Square,2009,"San Francisco, CA, USA",Payments,590500000.0,19700000000.0,85000000000.0,8500,"Khosla Ventures, Sequoia",Payment & POS Solutions,4.2
Palantir,2003,"Denver, CO, USA",Data Analytics,2600000000.0,2200000000.0,52000000000.0,3500,"Founders Fund, In-Q-Tel",Data Integration Platform,4.0
Canva,2013,"Sydney, Australia",Design,572600000.0,2000000000.0,40000000000.0,3500,"Sequoia, Bessemer, Bond",Design Platform,4.7
Monday.com,2012,"Tel Aviv, Israel",Work Management,234100000.0,736000000.0,14000000000.0,1900,"Sapphire Ventures, Insight",Work OS Platform,4.6
Asana,2008,"San Francisco, CA, USA",Work Management,453200000.0,652000000.0,5500000000.0,1600,"Benchmark, Founders Fund",Work Management Platform,4.3
Airtable,2012,"San Francisco, CA, USA",Database/Spreadsheet,735100000.0,500000000.0,11000000000.0,900,"Benchmark, Thrive Capital",Low-code Database Platform,4.6
Figma,2012,"San Francisco, CA, USA",Design,332900000.0,600000000.0,,1300,"Index Ventures, Greylock",Collaborative Design Tool,4.7
GitLab,2011,"San Francisco, CA, USA",DevOps,435600000.0,580000000.0,8000000000.0,2300,"ICONIQ, Goldman Sachs",DevOps Platform,4.5
Zendesk,2007,"San Francisco, CA, USA",Customer Service,85500000.0,1900000000.0,13200000000.0,6000,"Benchmark, Matrix Partners",Customer Service Platform,4.3
Box,2005,"Redwood City, CA, USA",Cloud Storage,562400000.0,1000000000.0,3500000000.0,2800,"DFJ, NEA, Bessemer",Cloud Content Management,4.2
Dropbox,2008,"San Francisco, CA, USA",Cloud Storage,1700000000.0,2500000000.0,8500000000.0,2700,"Sequoia, Accel, Index",Cloud Storage & Collaboration,4.4
Freshworks,2010,"San Mateo, CA, USA",Customer Engagement,484700000.0,596000000.0,5200000000.0,5000,"Accel, Sequoia Capital India",Customer Engagement Suite,4.4
Klaviyo,2012,"Boston, MA, USA",Marketing Automation,778200000.0,698000000.0,9500000000.0,1500,"Summit Partners, Accel",Email & SMS Marketing,4.6
UiPath,2005,"New York, NY, USA",RPA,2000000000.0,1300000000.0,7000000000.0,4013,"Sequoia, Accel, IVP",Robotic Process Automation,4.5
Databricks,2013,"San Francisco, CA, USA",Data & AI,3500000000.0,1600000000.0,43000000000.0,5000,"Andreessen Horowitz, NEA",Unified Analytics Platform,4.5
Confluent,2014,"Mountain View, CA, USA",Data Streaming,455900000.0,773000000.0,9100000000.0,2500,"Sequoia, Benchmark, Index",Data Streaming Platform,4.4
HashiCorp,2012,"San Francisco, CA, USA",Infrastructure,349500000.0,541000000.0,13000000000.0,2200,"GV, Mayfield, IVP",Infrastructure Automation,4.6
Elastic,2012,"Mountain View, CA, USA",Search & Analytics,162000000.0,1100000000.0,8000000000.0,3000,"NEA, Benchmark, Index",Search & Analytics Platform,4.4
